metric,our_finding,keyrock_benchmark,dennis_hypothesis_verified,notes_and_interpretation
전체 이벤트 수,52,"16,000",N/A,샘플 크기 (Keyrock 대비 0.3%)
72h 내 하락 비율,88.5% (46/52),90%,✅ YES,Keyrock의 30일 윈도우 90%와 72h 윈도우 88.5%가 거의 일치 — 대부분의 매도압이 첫 72h에 집중
72h 평균 수익률,-16.97%,-30일 기준 평균 -12%,✅ YES (더 심각),"72h 내 -17% → 연환산 -2,074% 급성 쇼크"
72h 중앙값,-18.57%,N/A,N/A,분포의 두꺼운 왼쪽 꼬리 - 심각한 dump가 평균을 끌어내림
BTC 대비 underperform,88.5% (46/52),N/A,✅ YES (신규 발견),Dennis 가설의 핵심 — BTC 시장 전체 대비 언락 코인은 상대 성과 열세
평균 BTC-상대 수익률,-17.18%,N/A,✅ YES,BTC 자체 움직임 제거 후에도 -17% — 순수 dilution + 매도압
Cliff 평균 영향,-17.62%,-25%,일부 YES,Keyrock 대비 약간 약함 — 하지만 72h 내 거의 동일
Linear 평균 영향,-14.23%,-5~10%,❌ 더 심각,린어 언락이 72h 내 더 심각 (예상치 못한 발견)
Team 포함 언락,-21.16%,-25%,✅ YES,Keyrock 결론과 일치 — Team 수취자가 가장 치명적
Ecosystem 언락,-3.42%,+1.18%,대체로 일치,Keyrock의 OP 사례와 유사 — 생태계 전략적 언락은 중립~긍정
극단 하락 (-30% 이상),12/52 (23.1%),N/A,N/A,"AEVO, STRK, MOVE, TRUMP, LINEA, TIA, ZK 등 1년 cliff"
상승 이벤트,6/52 (11.5%),10%,일치,"OP, JTO 상장, WIF, FTM/Sonic, TAO, FET — 특수 조건"
1년 Cliff의 평균 영향,-27.5%,N/A,★ 핵심 발견,1주년 대형 cliff = 가장 치명적 이벤트 유형
