token_symbol,btc_correlation_24h,btc_correlation_7d,btc_correlation_30d,btc_price_trend_period,token_price_during_period,btc_volume_trend,token_volume_trend,correlation_type,strategy_signal
EPT,0.15,0.08,-0.12,상승(+18%),상승(+125%),상승,폭등(+340%),비정상_양의_상관,MM 펌프 중 (BTC 상승 시 alpha 더 급등)
AIN,0.22,0.05,-0.28,상승(+22%),폭등(+890%) → 붕괴(-99%),상승,폭등 후 -95%,위상_반전,BTC 유동성 들어올 때 MM이 덤프
HUMA,0.18,0.12,-0.15,상승(+15%),상승(+230%),상승,폭등(+420%),초기_동조,BTC 유동성으로 alpha 끌어올리는 패턴
GAIB,0.25,0.18,0.05,상승(+8%),상승(+450%),상승,급증(+280%),선도_펌프,BTC 약 상승 시 alpha 폭등 = 독립 MM
SAPIEN,0.12,-0.05,-0.32,하락(-8%),폭락(-94%),하락,폭락(-85%),BTC_하락_가속,BTC 하락 시 alpha 복리 붕괴
MYX,0.35,0.42,0.38,상승(+22%),상승(+1850%),상승,폭증(+680%),건강한_상관,실사용 프로젝트 특성
DN,0.2,0.15,-0.08,상승(+5%),폭등(+580%),상승,급증(+220%),상장_효과_MM,상장 당일 MM + BTC 유동성 혼합
MetaArena,0.08,-0.12,-0.45,상승(+10%),상승(+3530%),상승,폭증(+2800%),볼륨_극단_wash,V/MC 35.3x - BTC와 무관 wash 거래
我骑马来了,0.05,-0.25,-0.52,상승(+15%),극단폭등(+27140%) → 붕괴,상승,폭증 후 급락,MM_단독_행동,BTC 상관관계 거의 없음 - MM 단독
NXPC,0.28,0.2,0.1,상승(+18%),상승(+820%),상승,급증(+450%),상장_동조,Spot 상장 효과 + BTC 유동성
OBOL,0.42,0.45,0.38,상승(+20%),상승(+350%),상승,상승(+125%),정상_상관,실사용 프로젝트 BTC 상관 높음
KGST,0.08,0.05,0.03,상승/하락,±1% 유지,상승/하락,소폭 변동,스테이블_무관,스테이블코인 대조군
