case_id,wallet_created_to_first_bet_minutes,bet_to_public_event_minutes,profit_usd,anomaly_notes
WALLET-01,12,10,48500,Pre-post 12분 지갑 → 10분 내 베팅 (Trump Truth Social 직전)
WALLET-02,1440,180,125500,1일 전 지갑 → 3시간 전 베팅 (Apr 7 ceasefire)
WALLET-03,2880,360,200000,2일 전 지갑 → 6시간 전 베팅
WALLET-04,7200,4260,1200000,"5일 전 지갑 → 71분 전 베팅 (Magamyman, Iran strike)"
WALLET-05,720,240,553000,12시간 전 지갑 → 4시간 전 베팅
WALLET-06,10080,1440,70000,7일 전 지갑 → 1일 전 베팅 (3/21 ceasefire)
WALLET-07,60,30,31908,1시간 전 지갑 → 30분 전 베팅
WALLET-08,4320,2160,485000,3일 전 지갑 → 36시간 전 Maduro 베팅 (Burdensome-Mix)
WALLET-09,180,120,66000,3시간 전 지갑 → 2시간 전 베팅
WALLET-10,240,15,24000,4시간 전 지갑 → 15분 전 베팅
WALLET-AVG-SUSPICIOUS,2556,848,280415,의심 케이스 평균 (Bubblemaps 플래그)
WALLET-AVG-NORMAL,50400,2880,120,정상 사용자 평균 (Harvard 비교군)
