risk_level,allocation_name,ticker,weight_pct,rationale
LOW,코어 ETF (GLUX),GLUX.PA,40,분산된 명품 섹터 전체 노출. 단일 기업 리스크 제거
LOW,Hermès,RMS.PA,15,초고가 포지셔닝으로 경기 둔화 영향 최소. 방어적 코어
LOW,Ferrari,RACE,10,생산 제한으로 희소성 프리미엄. 초부유층 고객
LOW,글로벌 ETF (VWCE/VOO),VWCE,25,분산 리스크 완화
LOW,현금/MMF,Cash,10,기회 대기 + 변동성 완화
MEDIUM,코어 ETF (GLUX),GLUX.PA,30,명품 섹터 핵심 보유
MEDIUM,LVMH,MC.PA,20,세계 최대 명품 기업. 현재 저평가 구간 진입
MEDIUM,Hermès,RMS.PA,15,방어적 코어
MEDIUM,Richemont,CFR.SW,10,주얼리 비중 70% — 실물 가치
MEDIUM,Prada / Ferrari 중 택1,PRX.AS or RACE,10,성장주 노출
MEDIUM,S&P 500 ETF,VOO,10,분산 베이스
MEDIUM,현금,Cash,5,Buy-the-Dip 탄약
HIGH,LVMH,MC.PA,25,역발상 매수 핵심
HIGH,Kering (Gucci),KER.PA,20,2024 -39% 폭락 → 역발상 고위험 타깃. 턴어라운드 성공 시 +100% 가능
HIGH,Burberry,BRBY.L,15,신임 CEO 리포지셔닝. 성공 시 큰 반등 가능. 실패 시 추가 하락 위험
HIGH,Estée Lauder,EL,10,중국 Travel Retail -30% 회복 베팅. 달러 자산
HIGH,LVMH 콜 옵션,MC.PA Calls,10,12개월 ATM-OTM 콜 옵션. 회복 시 레버리지 효과
HIGH,Hermès (헤지),RMS.PA,10,전체 명품 섹터 방어용 코어
HIGH,현금,Cash,10,추가 쇼크 발생 시 집중 매수
