metric,our_finding,benchmark_comparison,interpretation
전체 이벤트 수,51,Alpha 칼럼 20 / Unlock 칼럼 52,본 연구 중간 규모
24h 내 하락률,96.1% (49/51),"Keyrock 30d 90%, Unlock 72h 88.5%",★★★ 본 연구가 가장 높음 — 상장 당일이 가장 잔혹
72h 내 하락률,94.1% (48/51),Unlock 72h 88.5%,★ 상장 이벤트가 일반 언락보다 더 강한 매도압
BTC 대비 underperform 24h,96.1%,Unlock 72h 88.5%,★★★ 거의 모든 상장이 BTC 대비 하회
평균 72h 수익률,-45.24%,"Unlock 72h -16.97%, Alpha -88%",★★★ 72h 만에 -45% — 단기 파괴력 최고
중앙값 72h 수익률,-51.11%,Unlock 중앙값 -18.57%,3일에 절반 가치 소실
평균 BTC 상대 수익 72h,-46.04%,Unlock -17.18%,★★★ 본 연구가 2.7배 심각
최고가 대비 72h 낙폭 평균,-53.06%,N/A,★ 상장 당일 고점 대비 3일 내 반토막
Launchpool 평균 72h,-45.13%,34건 표본,주요 메커니즘 — BNB 홀더 대규모 에어드롭
HODLer Airdrop 평균 72h,-48.45%,16건 표본,★ 가장 심각 — 과거 BNB 홀더 snapshot
MegaDrop 평균 72h,+2.68%,1건 (TAO) — 유일 상승,"★ Bittensor만 상승, 분산된 PoW 구조"
High Airdrop 5%+ 평균,-39.50%,11건,높은 에어드롭 비율이 반드시 더 나쁘지는 않음
Low Airdrop <2.5% 평균,-39.54%,17건,낮은 에어드롭도 비슷하게 나쁨 — 메커니즘 자체가 문제
72h 상승 예외 사례,"3건 (NOT, USUAL, TAO)","NOT=밈, USUAL=스테이블, TAO=마이닝",★ 모두 구조적 특수 케이스
극단 하락 (-55% 이상),24/51 (47.1%),1주년 cliff -30% 이하,★★★ 거의 절반이 72h만에 -55% 붕괴
