ticker,name,sector,market_cap_usd_b,eps_growth_3y,rev_growth_3y,roe,forward_pe,peg,cfo_to_ni,passed_all,notes,data_source
NVDA,NVIDIA Corporation,Information Technology,4250,2.40,1.20,1.0149,23.97,0.63,1.05,TRUE,"AI infra leader; ROE 101.5% TTM; PEG 0.63 reflects deep growth/valuation balance",stockanalysis.com (Apr 2026)
META,Meta Platforms Inc.,Communication Services,1710,0.48,0.18,0.3024,22.15,1.03,1.10,TRUE,"FCF strong despite Reality Labs spend; 30%+ ROE; FY24 EPS +71% YoY",stockanalysis.com (Apr 2026)
MSFT,Microsoft Corporation,Information Technology,3300,0.20,0.16,0.3439,24.13,0.81,0.95,TRUE,"PEG fell to 0.81 (Apr 2026) on slowing growth; still passes; ROE 34%",stockanalysis.com / financecharts.com (Apr 2026)
AVGO,Broadcom Inc.,Information Technology,1450,0.49,0.30,0.3337,30.19,0.73,0.90,TRUE,"VMware integration boosting growth; 5yr EPS CAGR 49.4%; ROE 33%",stockanalysis.com / fullratio.com (Apr 2026)
LLY,Eli Lilly and Company,Health Care,825,0.65,0.35,1.0116,27.01,1.22,0.85,TRUE,"GLP-1 (Mounjaro/Zepbound) wave; ROE 101%; rev FY25 ~$65B vs $34B FY22",stockanalysis.com / gurufocus.com (Apr 2026)
APP,AppLovin Corporation,Communication Services,128,2.60,0.27,2.1295,24.35,0.81,0.85,TRUE,"AI ad platform AXON; ROE 213%; 5yr EPS CAGR 67%; rev 3yr CAGR 27%",stockanalysis.com / fullratio.com (Apr 2026)
NOW,ServiceNow Inc.,Information Technology,170,0.74,0.22,0.1549,21.59,0.96,1.20,TRUE,"Enterprise workflow + AI; ROE 15.5% (just above threshold); FY26 sub rev guide raised",stockanalysis.com / gurufocus.com (Apr 2026)
INTU,Intuit Inc.,Information Technology,168,0.30,0.13,0.2346,15.30,0.66,1.10,TRUE,"BORDERLINE on rev growth (~13%); Forward PE deeply discounted; PEG 0.66",stockanalysis.com / financecharts.com (Apr 2026)
VRTX,Vertex Pharmaceuticals Inc.,Health Care,113,0.30,0.10,0.2231,22.21,0.15,0.95,TRUE,"PEG 0.15 reflects pipeline rerating; CASGEVY + Journavx ramp; ROE 22%",stockanalysis.com / vertex Q4 2025 release (Feb 2026)
ANET,Arista Networks Inc.,Information Technology,163,0.40,0.30,0.3140,35.83,1.65,1.10,FALSE,"FAILS PEG (1.65-1.88 vs <1.5 threshold); otherwise strong (ROE 31.4%)",stockanalysis.com / chartmill.com (Apr 2026)
NFLX,Netflix Inc.,Communication Services,475,0.367,0.13,0.40,32.21,2.18,0.95,FALSE,"FAILS PEG using 5yr EBITDA growth (2.18); passes if using TTM EPS growth (1.01) — methodology dependent",gurufocus.com / fullratio.com (Apr 2026)
GOOGL,Alphabet Inc. Class A,Communication Services,3650,0.18,0.13,0.3570,23.31,1.87,1.05,FALSE,"FAILS forward EPS growth (~6-7% in 2026 due to CapEx surge); historical 3yr passes",stockanalysis.com / trefis.com (Apr 2026)
MA,Mastercard Incorporated,Financials,440,0.16,0.13,2.0992,26.36,1.61,1.10,FALSE,"FAILS PEG (1.61); ROE 210%; growth steady but not >15%",stockanalysis.com (Apr 2026)
AXON,Axon Enterprise Inc.,Industrials,30,0.46,0.30,0.0448,51.25,1.26,0.60,FALSE,"FAILS Forward PE (51.25), ROE (4.5% TTM), CFO/NI; growth strong but valuation rich",stockanalysis.com / tikr.com (Apr 2026)
