strategy_id,strategy_name,description,entry_rule,exit_rule,tokens_tested,win_rate_pct,avg_return_pct,max_drawdown_pct,sharpe_ratio,notes
STR-01,Early Entry (Alpha Buy),상장 즉시 매수 - FOMO 전략 (대조군),상장 당일 open price 매수,T+7 매도,20,25,-42,-97,-1.85,★ 나쁨 - 대부분 MM 덫에 걸림
STR-02,Peak Short (Pump-Fade),+200% 도달 후 숏 진입 - 학술적 근거 (Alpha Architect),24h 수익률 > +200% + 홀더 증가율 > 500%/day,T+7 커버 or -30% TP,12,75,52,-18,2.42,★★★ 최고 - 학술적 근거 + 실증
STR-03,BTC Decoupling Short,BTC와 상관 0.2 미만 + alpha +100% → 숏,24h btc_correlation < 0.20 + alpha +100%+,상관 > 0.4 회복 or -25% TP,15,67,38,-22,1.85,★★ BTC와 무관한 alpha는 MM 행위 확률 높음
STR-04,Holder Concentration Short,Top10 보유 > 80% + 가격 +50% → 숏,top10_concentration > 80% + 상장 2일차 +50%,농도 < 65% or -20% TP,18,72,44,-25,2.05,★★★ 재단+MM 보유 구조 실측
STR-05,Volume/MarketCap Ratio Short,V/MC > 10x → wash trade 의심 숏,24h volume / market cap > 10,비율 < 3x 정상화 or -15% TP,8,62,28,-30,1.15,★★ 위험하지만 학술적 근거 (Chainalysis)
STR-06,Graduation Fade,Alpha 승격 직후 매도 - 시장 노출 최대치,Spot/Futures 승격 당일,T+3 커버 or -25% TP,12,58,22,-35,0.95,★ 보통 - 승격 효과 있음
STR-07,Hybrid (STR-02 + STR-04),Peak Short + Holder Concentration 동시 충족,+200% + top10 > 80%,둘 중 하나 해제 or -25% TP,7,86,68,-12,3.25,★★★★ 최상급 - 2가지 조건 동시
STR-08,Wait-and-Short (Day 7+),상장 7일 후 관망 시작 - MM 피크 지나감,T+7 이후 retest 시 숏,-20% TP or 30일,10,70,42,-18,2.28,★★★ 장기 관점 - MM 피로
STR-09,BTC Liquidity Trigger,BTC +5% 상승 이후 24h 내 alpha 진입 (MM이 BTC 유동성 활용),BTC_24h > +5% AND alpha에 MM bot 징후,MM 페이즈 3 시작 → 숏,9,55,32,-28,1.42,★★ BTC 상승 사이클 활용
STR-10,Foundation Unlock Calendar,재단 unlock 일정 -7일 숏,unlock 7일 전 진입,unlock 후 3일 커버,6,83,48,-15,2.85,★★★★ Cliff Unlock 패턴
