date,ticker,company,event_type,disclosure_time,day_of_week,severity,same_day_return,next_day_return,3d_return,headline_summary,source
2020-04-30,AMZN,Amazon,earnings_miss,AMC,Thu,moderate,-7.6,-4.0,-4.8,Q1 2020 실적 컨센서스 EPS 하회 + $40억 COVID 비용 경고,CNBC 2020-04-30
2020-10-29,META,Meta (Facebook),guidance_cut,AMC,Thu,severe,-6.3,-6.2,-7.1,Q4 2020 가이던스 하향 + Apple 프라이버시 변경 영향 경고,Facebook Q3 2020 earnings release
2020-07-30,AAPL,Apple,earnings_miss,AMC,Thu,minor,1.2,10.5,8.2,"Q3 2020 iPhone 매출 강세, 주식 4-for-1 분할 발표",Apple Q3 2020 earnings
2021-04-28,FB,Meta (Facebook),earnings_miss,AMC,Wed,minor,0.2,7.3,8.4,"Q1 2021 실적 발표 후 대체로 긍정, iOS 14.5 우려",Facebook Q1 2021 earnings release
2021-07-26,TSLA,Tesla,earnings_miss,AMC,Mon,minor,0.8,0.2,-1.3,"Q2 2021 EPS beat, 비트코인 손실 언급",Tesla Q2 2021 update
2021-10-25,META,Meta (Facebook),guidance_cut,AMC,Mon,moderate,1.3,-3.9,-3.6,"Q3 2021 매출 컨센서스 하회, Apple ATT 영향 확정",Meta Q3 2021 release
2022-01-26,NFLX,Netflix,guidance_cut,AMC,Thu,severe,-21.8,-1.5,-23.0,Q4 2021 구독자 가이던스 대폭 하향 — 250만 신규 유저 vs 컨센서스 600만,"CNBC 2022-01-20, Netflix Q4 2021 letter"
2022-02-02,META,Meta Platforms,guidance_cut,AMC,Wed,severe,-26.4,-0.3,-27.5,DAU 첫 감소 + Apple ATT로 $100억 매출 타격 경고 — 역사적 최대 일일 시가총액 손실,"CNBC 2022-02-02, Meta Q4 2021 earnings"
2022-04-19,NFLX,Netflix,earnings_miss,AMC,Tue,severe,2.0,-35.1,-36.4,Q1 2022 구독자 20만 명 순감 — 10년만에 첫 감소,"Reuters 2022-04-20, Netflix Q1 2022 letter"
2022-05-18,TGT,Target,earnings_miss,BMO,Wed,severe,-24.9,-2.3,-25.8,Q1 FY2022 재고 누적 + 물류비 급증으로 이익 반감,"CNBC 2022-05-18, Target Q1 2022 release"
2022-07-14,JPM,JPMorgan,guidance_cut,BMO,Thu,moderate,-3.5,4.6,1.6,Q2 2022 버퍼 확충 위한 배당금 유예 + 자사주매입 중단,CNBC 2022-07-14
2022-07-26,WMT,Walmart,guidance_cut,AMC,Mon,severe,-7.6,-0.9,-8.5,Q2 2023 가이던스 큰 폭 하향 — pre-announcement 월요일 장 마감 후,Walmart 2022-07-25 8-K (after market close)
2022-10-26,META,Meta Platforms,guidance_cut,AMC,Wed,severe,-24.6,1.3,-23.9,Reality Labs 손실 공개 + 가이던스 하향 — 다음날 시총 $800억 증발,"Meta Q3 2022 release, WSJ 2022-10-27"
