ticker,ticker_alt,company,type,currency,exchange,market_cap_b,revenue_2024_b,peg_2025,china_exposure_pct,brand_portfolio,2024_return_pct,2025_return_pct,2026_ytd_pct,dividend_yield_pct,notes
MC.PA,LVMHF (ADR),LVMH Moët Hennessy Louis Vuitton,Stock,"EUR (primary), USD (ADR)","Paris (Euronext), OTC Markets",296.5,84.7,19.2,30,"Louis Vuitton, Dior, Tiffany, Bulgari, Moët, Hennessy, Sephora, 75+ 브랜드",-13.0,-27.0,5.0,2.1,세계 최대 명품 기업. 2025 H1 Fashion & Leather Goods -7% 매출. 대중국 노출 최대. 2026 회복 기대
RMS.PA,HESAY (ADR),Hermès International,Stock,"EUR, USD (ADR)","Paris, OTC",245.0,15.2,55.8,25,"Hermès (단일 브랜드). Birkin, Kelly, 실크 스카프, 주얼리",20.5,-5.0,8.0,0.8,초고가 포지셔닝으로 경기 침체 영향 최소. 중국 수요 위축기에도 성장 유지. 밸류에이션 높음 (PE ~55)
KER.PA,PPRUF (ADR),"Kering (Gucci, YSL 등)",Stock,"EUR, USD (ADR)","Paris, OTC",35.2,17.2,14.5,40,"Gucci, Saint Laurent, Bottega Veneta, Balenciaga, Alexander McQueen",-39.4,-16.0,12.0,4.5,Gucci 매출 45% 의존 + 중국 노출 최대. 2024 역대급 폭락. 2025 Q1 Asia -25%. 역발상 고위험/고수익 타깃
CFR.SW,CFRUY (ADR),"Richemont (Cartier, Van Cleef)",Stock,"CHF, USD (ADR)","Six Swiss, OTC",92.0,20.6,22.3,22,"Cartier, Van Cleef & Arpels, IWC, Montblanc, Piaget",12.5,-3.0,10.0,2.3,주얼리 비중 70% → 실물 가치 투자 효과. Asia -27% 매출에도 주가 방어. 디지털 매출 +17% 성장
RACE,RACE.MI,Ferrari NV,Stock,"USD (primary NYSE), EUR (Milan)","NYSE, Milan",82.0,6.9,48.5,10,Ferrari 단일. 슈퍼카 + 라이프스타일,28.0,15.0,7.0,0.6,연간 1.4만대 생산 제한으로 희소성 프리미엄. 2025 6개 신모델 런칭. 초부유층 대상 → 경기 영향 최소
MONC.MI,MONRF (ADR),Moncler,Stock,"EUR, USD (ADR)","Milan, OTC",13.8,3.1,18.5,35,"Moncler 다운, Stone Island",-7.8,-12.0,6.0,1.8,프리미엄 아우터 전문. 중국 노출 상대적으로 높음
BRBY.L,BURBY (ADR),Burberry Group,Stock,"GBP, USD (ADR)","LSE, OTC",4.5,3.4,11.2,30,"Burberry 단일. 트렌치코트, 체크패턴",-30.0,-10.0,15.0,4.2,2024 다중 profit warning. 신임 CEO + 브랜드 리포지셔닝 중. 턴어라운드 가능성 vs 추가 하락 위험
PRX.AS,PRTP.PA,Prada SpA,Stock,"HKD (primary), EUR","HKEX, Milan",13.0,5.4,16.0,28,"Prada, Miu Miu (고성장)",20.0,35.0,8.0,1.5,Miu Miu 브랜드가 Gen Z에 폭발적 인기. 2024-2025 가장 강력한 perform
BRN.SW,BNNRF (ADR),Brunello Cucinelli,Stock,"EUR, USD (ADR)","Milan, OTC",6.8,1.3,45.0,18,Brunello Cucinelli 단일. 초고가 캐시미어,18.0,5.0,4.0,0.9,Hermès와 유사한 초고가 전략. 미국 부유층 노출 높음
GLUX.PA,GLUX.MI / GLUX.DE / LUXG.L,Amundi S&P Global Luxury UCITS ETF,ETF,EUR,"Paris, Milan, Xetra, LSE",0.38,,,25,"LVMH, Hermès, Tesla, Ferrari, Richemont, Estée Lauder 등 80개 종목",-3.5,-12.0,8.0,0.0,"S&P Global Luxury Index 추종. TER 0.25%. 유럽 명품 + 미국 럭셔리 (Tesla 포함). 2008년 설정, AUM 380M EUR"
ELUX,ELUX.MI,Lyxor Dow Jones Global Titans 50 Luxury (지속된 업종 대체),ETF,EUR,Milan,,,,,축소된 대체 상품,,,,,ELUX는 축소/합병된 ETF. GLUX 사용 권장
EL,-,Estée Lauder Companies,Stock,USD,NYSE,25.0,15.6,22.0,30,"Estée Lauder, La Mer, MAC, Clinique, Jo Malone",-33.0,-15.0,10.0,2.5,프리미엄 뷰티. 중국 Travel Retail -30%. 달러 표시로 한국 투자자 접근 쉬움
TPR,-,"Tapestry Inc (Coach, Kate Spade)",Stock,USD,NYSE,15.0,6.7,12.5,22,"Coach, Kate Spade, Stuart Weitzman",40.0,22.0,5.0,2.3,Capri 인수 무산 후 자체 실적 개선. 어포더블 럭셔리 포지션
